"province","step","Reads","MOTUs","Species"
"Arctic","before",6346919,2557,21
"Arctic","tenreads",6340103,327,10
"Arctic","PCR_blanks_chimeras",6339817,314,10
"Arctic","fishonly",5059617,57,3
"Arctic","readlength",5059591,56,3
"Arctic","PCR_all",5037842,33,2
"Arctic","LULU",5037842,33,2
"Arctic","LULU_family",4945738,28,2
"Cold_Temperate_Northwest_Pacific","LULU",12014,42,18
"Cold_Temperate_Northwest_Pacific","LULU_family",11520,39,18
"Lusitanian","before",6320079,2079,60
"Lusitanian","tenreads",6314698,206,58
"Lusitanian","PCR_blanks_chimeras",6314653,204,58
"Lusitanian","fishonly",6160427,110,55
"Lusitanian","readlength",6160427,110,55
"Lusitanian","PCR_all",6153448,96,52
"Lusitanian","LULU",6153448,96,52
"Lusitanian","LULU_family",4362220,92,52
"Mediterranean_Sea","before",69838075,15412,134
"Mediterranean_Sea","tenreads",69778918,1079,129
"Mediterranean_Sea","PCR_blanks_chimeras",69776913,1032,129
"Mediterranean_Sea","fishonly",64681216,394,120
"Mediterranean_Sea","readlength",64671959,384,120
"Mediterranean_Sea","PCR_all",64462922,249,100
"Mediterranean_Sea","LULU",64462922,249,100
"Mediterranean_Sea","LULU_family",63876182,227,100
"Scotia_Sea","before",20412024,5326,19
"Scotia_Sea","tenreads",20396150,484,15
"Scotia_Sea","PCR_blanks_chimeras",20396065,480,15
"Scotia_Sea","fishonly",16405013,62,9
"Scotia_Sea","readlength",16404333,61,9
"Scotia_Sea","PCR_all",16041636,40,8
"Scotia_Sea","LULU",16041636,40,8
"Scotia_Sea","LULU_family",11005415,24,8
"Southeast_Polynesia","before",7442809,2408,118
"Southeast_Polynesia","tenreads",7438309,373,112
"Southeast_Polynesia","PCR_blanks_chimeras",7438275,370,112
"Southeast_Polynesia","fishonly",7179074,307,111
"Southeast_Polynesia","readlength",7179074,307,111
"Southeast_Polynesia","PCR_all",6859662,197,83
"Southeast_Polynesia","LULU",6859662,197,83
"Southeast_Polynesia","LULU_family",6293496,169,83
"Tropical_East_Pacific","before",4957433,2055,66
"Tropical_East_Pacific","tenreads",4950268,380,65
"Tropical_East_Pacific","PCR_blanks_chimeras",4950242,379,65
"Tropical_East_Pacific","fishonly",4739633,221,62
"Tropical_East_Pacific","readlength",4739588,220,62
"Tropical_East_Pacific","PCR_all",4676658,153,48
"Tropical_East_Pacific","LULU",4676658,153,48
"Tropical_East_Pacific","LULU_family",4401537,126,48
"Tropical_Northwestern_Atlantic","before",32286077,12387,164
"Tropical_Northwestern_Atlantic","tenreads",32243468,975,135
"Tropical_Northwestern_Atlantic","PCR_blanks_chimeras",32237820,927,135
"Tropical_Northwestern_Atlantic","fishonly",29328813,734,132
"Tropical_Northwestern_Atlantic","readlength",29328137,731,132
"Tropical_Northwestern_Atlantic","PCR_all",28831276,466,116
"Tropical_Northwestern_Atlantic","LULU",28825577,452,116
"Tropical_Northwestern_Atlantic","LULU_family",23452276,314,116
"Tropical_Southwestern_Pacific","before",52564185,20134,352
"Tropical_Southwestern_Pacific","tenreads",52523440,2392,335
"Tropical_Southwestern_Pacific","PCR_blanks_chimeras",52519753,2341,335
"Tropical_Southwestern_Pacific","fishonly",47897730,1328,331
"Tropical_Southwestern_Pacific","readlength",47896969,1327,331
"Tropical_Southwestern_Pacific","PCR_all",45546471,954,295
"Tropical_Southwestern_Pacific","LULU",34292060,917,288
"Tropical_Southwestern_Pacific","LULU_family",30246965,742,288
"Western_Coral_Triangle","before",149939309,57015,472
"Western_Coral_Triangle","tenreads",149800467,3693,447
"Western_Coral_Triangle","PCR_blanks_chimeras",149787194,3385,447
"Western_Coral_Triangle","fishonly",119647080,2120,436
"Western_Coral_Triangle","readlength",119644760,2112,436
"Western_Coral_Triangle","PCR_all",115574720,1228,397
"Western_Coral_Triangle","LULU",89675333,1145,390
"Western_Coral_Triangle","LULU_family",82359410,941,390
"Western_Indian_Ocean","before",18329463,8294,162
"Western_Indian_Ocean","tenreads",18313221,713,159
"Western_Indian_Ocean","PCR_blanks_chimeras",18312333,681,159
"Western_Indian_Ocean","fishonly",16077565,550,156
"Western_Indian_Ocean","readlength",16077465,548,156
"Western_Indian_Ocean","PCR_all",15669730,357,133
"Western_Indian_Ocean","LULU",15669730,357,133
"Western_Indian_Ocean","LULU_family",14319371,301,133
